Evaluation,Best,Average,Worst
14900,883.7909560107746,950.9607370094772,1318.566206849844
15000,883.7909560107746,946.8260839735317,1504.8001667304102
15100,883.7909560107746,941.2453744994763,1426.3040102552004
15200,883.7909560107746,927.9230043571815,1294.0019162077083
15300,883.7909560107746,940.8448055443881,1311.6814570783238
15400,883.7909560107746,946.7278073692808,1517.4591932645194
15500,883.7909560107746,943.8310281169016,1512.7680762871678
15600,883.7909560107746,954.3725749472821,1504.8001667304102
15700,883.7909560107746,940.2301442384788,1289.0253560778215
15800,883.7909560107746,943.9051192197825,1398.2676510809458
15900,883.7909560107746,942.2946862034705,1398.2676510809458
16000,883.7909560107746,946.7064075835983,1360.0829684079158
16100,883.7909560107746,924.4235626004388,1294.2176959411693
16200,883.7909560107746,954.2429441637249,1525.5334101731469
16300,883.7909560107746,954.4592102698418,1512.7680762871678
16400,883.7909560107746,958.599840088238,1472.7402750732595
16500,883.7909560107746,968.1897335949678,1424.8976685170812
16600,883.7909560107746,950.886049808741,1512.7680762871678
16700,883.7909560107746,939.3017720674148,1337.9220028813058
16800,883.7909560107746,949.4917900319888,1504.8001667304102
16900,883.7909560107746,929.4708895258732,1407.8226525808295
17000,883.7909560107746,947.3292384161184,1472.7402750732595
17100,882.1299002006149,949.7406468810894,1424.8976685170812
17200,882.1299002006149,965.7601389240843,1536.96256920711
17300,882.1299002006149,944.7354133383348,1268.253080178886
17400,882.1299002006149,945.4719440718889,1400.0626328581159
17500,882.1299002006149,941.1016995931792,1425.370073181591
17600,882.1299002006149,959.9953916888595,1433.5737341347324
17700,882.1299002006149,945.5962391790916,1356.995672213774
17800,882.1299002006149,963.0815076450159,1457.0869165670076
17900,882.1299002006149,940.7039465661,1425.370073181591
18000,882.1299002006149,942.8137212220863,1407.8226525808295
18100,882.1299002006149,923.4343926335323,1303.141864964533
18200,882.1299002006149,935.8498969558489,1320.8446502265388
18300,882.1299002006149,924.8535225965596,1408.4930334069816
18400,882.1299002006149,959.9176684191046,1457.0869165670076
18500,882.1299002006149,957.5368536024812,1426.3040102552004
18600,882.1299002006149,935.5884811519569,1524.380030199508
18700,882.1299002006149,940.5304233323934,1349.456843417036
18800,882.1299002006149,932.4441724667608,1433.5737341347324
18900,882.1299002006149,941.8872395802338,1517.4591932645194
19000,882.1299002006149,940.9307323246607,1426.3040102552004
19100,882.1299002006149,957.1795684990572,1402.8101161408092
19200,882.1299002006149,934.2427054144865,1370.5227141217517
19300,882.1299002006149,949.1172708958854,1525.5334101731469
19400,882.1299002006149,934.3154516312715,1524.380030199508
19500,882.1299002006149,930.7167540130083,1371.2902062065814
19600,882.1299002006149,939.2986098197086,1347.5295187855436
19700,882.1299002006149,947.6402556910163,1516.5857317194125
19800,882.1299002006149,942.3014450682062,1260.5951533248112
19900,882.1299002006149,931.9097525506871,1352.4817592489171
20000,882.1299002006149,951.2685821771215,1504.8001667304102
20100,882.1299002006149,926.7216083197934,1398.2676510809458
20200,882.1299002006149,972.4586522992986,1472.7402750732595
20300,882.1299002006149,942.5537444611523,1536.96256920711
20400,882.1299002006149,941.4104778544282,1311.6814570783238
20500,882.1299002006149,970.9349022774013,1426.3040102552004
20600,882.1299002006149,932.980523562968,1400.0626328581159
20700,882.1299002006149,949.6526746418702,1512.7680762871678
20800,882.1299002006149,963.7263444906115,1517.4591932645194
20900,882.1299002006149,953.9245292697893,1525.5334101731469
21000,882.1299002006149,962.199606009349,1254.6853544112817
21100,882.1299002006149,941.141765862163,1536.96256920711
21200,882.1299002006149,931.5806065429819,1288.9530276643084
